species,SVL,adjHL,adjHW,adjSNL,adjIND,adjED,adjFL,adjTBL,adjMTTL,adjFin3DW
pm,1.691965103,1.136874299,1.250123839,0.788244687,0.600884776,0.653409459,1.317471257,1.277154556,0.518341706,0.462219058
pm,1.73239376,1.166526801,1.288914678,0.7510468,0.573346961,0.62985822,1.345619523,1.23859664,0.538288355,0.485356985
pm,1.7355989,1.148570396,1.237270442,0.751058922,0.537313356,0.66032978,1.292470547,1.211726222,0.512289698,0.440691461
pm,1.749736316,1.197637506,1.275960013,0.707359939,0.535214716,0.708329464,1.322110626,1.202761987,0.523293816,0.468617483
baleata,1.69019608,1.103480887,1.18481718,0.716570611,0.447657019,0.556218879,1.290286003,1.207504819,0.518850957,0.277158674
baleata,1.709269961,1.115159824,1.22088591,0.652143536,0.526515511,0.65615401,1.283413037,1.214163419,0.465266247,0.202231599
baleata,1.715167358,1.132238375,1.18169082,0.697976539,0.453987425,0.605936814,1.236318353,1.172643162,0.461496631,0.41636587
baleata,1.67669361,1.066956564,1.182323035,0.65854725,0.44464149,0.565976611,1.208086494,1.20558693,0.456125827,0.133651361
baleata,1.694605199,1.081558115,1.189405872,0.728217255,0.458724196,0.613399522,1.238698372,1.201827152,0.444676739,0.267015163
baleata,1.704150517,1.135326266,1.211641464,0.717947448,0.464413764,0.593194159,1.251276492,1.155895943,0.406390689,0.29588975
baleata,1.682145076,1.084652647,1.178137172,0.725232686,0.470516456,0.517153429,1.226806582,1.175399157,0.482604474,0.178170769
indochinensis,1.728353782,1.101874497,1.189682224,0.707701422,0.52068904,0.597032797,1.267615109,1.187071336,0.450507785,0.49776312
indochinensis,1.644438589,1.059937569,1.181300625,0.739993831,0.520925132,0.536727284,1.265106613,1.229863037,0.336504563,0.500447388
indochinensis,1.669316881,1.061862584,1.178291706,0.713227277,0.497380317,0.515118877,1.25817986,1.209408884,0.39475924,0.466600084
indochinensis,1.711807229,1.036509654,1.182492211,0.684886007,0.442444195,0.508493885,1.25946014,1.176970033,0.451273291,0.427224994
indochinensis,1.673941999,1.053104579,1.15322146,0.742330902,0.463039881,0.553640982,1.286754939,1.200586433,0.306372686,0.418267523
indochinensis,1.664641976,1.055258464,1.158508747,0.700158785,0.543197332,0.527342414,1.286593438,1.243100233,0.355582621,0.436483533
indochinensis,1.649334859,1.054908549,1.133722791,0.67799831,0.516291302,0.511949729,1.255262469,1.226482614,0.322644704,0.513274535
indochinensis,1.685741739,1.058058587,1.150407222,0.695555772,0.451872607,0.555512421,1.142254308,1.215929858,0.357023721,0.478099141
indochinensis,1.696356389,1.066881245,1.186177236,0.675180627,0.471790127,0.634361859,1.278347524,1.210230196,0.420292647,0.476015485
indochinensis,1.696356389,1.040088068,1.16891823,0.701509566,0.471790127,0.569095127,1.209501761,1.223195173,0.436683063,0.446052261
indochinensis,1.673941999,1.00820793,1.15322146,0.750448792,0.478279848,0.565540205,1.230717809,1.206300917,0.431311422,0.534773092
indochinensis,1.680335513,1.051623841,1.154765838,0.692417488,0.407771038,0.516866432,1.198077508,1.203708192,0.370402028,0.479160383
indochinensis,1.688419822,1.017566831,1.149768499,0.726754213,0.493541733,0.555937165,1.239144415,1.187657679,0.395764808,0.505602156
indochinensis,1.669316881,1.026147032,1.175367153,0.730601373,0.48265706,0.552907438,1.222394198,1.206542243,0.359997134,0.522716026
indochinensis,1.701567985,1.061946367,1.167675264,0.69590241,0.466857872,0.493081657,1.275862635,1.208751698,0.425213957,0.445029225
indochinensis,1.689308859,1.04565057,1.155673388,0.700491832,0.381549896,0.556078166,1.246187087,1.186512857,0.360392152,0.462675658
indochinensis,1.645422269,1.047918223,1.124747655,0.711497242,0.490030954,0.49796523,1.286417368,1.240178215,0.279441505,0.471290596
indochinensis,1.705007959,1.038084365,1.151929153,0.628083842,0.47784272,0.533744459,1.233738336,1.201713626,0.411428986,0.428559691
indochinensis,1.663700925,1.031564254,1.155663956,0.682285918,0.502695258,0.575497844,1.282397226,1.225128717,0.372422753,0.482425753
indochinensis,1.664641976,1.059118884,1.14294097,0.700158785,0.48708139,0.514377437,1.245431699,1.245772822,0.373311388,0.482241024
indochinensis,1.664641976,1.047433126,1.179406671,0.709302164,0.501804647,0.514377437,1.152314675,1.22948487,0.406735143,0.4522778
indochinensis,1.716003344,1.101355118,1.19536784,0.688804575,0.481224971,0.647462086,1.235919755,1.190163142,0.486269917,0.486399227
indochinensis,1.700703717,1.043011521,1.176596624,0.652019932,0.437712591,0.603642881,1.210085199,1.209864625,0.389635723,0.51655479
indochinensis,1.712649702,1.044139875,1.170861819,0.716772104,0.470610574,0.521991463,1.237518771,1.156456621,0.435678423,0.442853884
indochinensis,1.684845362,1.058266188,1.156737932,0.669081936,0.496924601,0.543135799,1.230689319,1.206226203,0.356177272,0.448311876
indochinensis,1.729974286,1.080814589,1.231187895,0.656739899,0.494331811,0.562527703,1.241356531,1.211907239,0.499462677,0.548597538
indochinensis,1.669316881,1.101867746,1.235554359,0.722001201,0.538773002,0.609388794,1.238093299,1.24504924,0.411149656,0.481323341
indochinensis,1.683047038,1.066235818,1.214018399,0.698455001,0.525778781,0.589847147,1.234108976,1.229992924,0.407724627,0.506656834
indochinensis,1.682145076,1.039413221,1.200703,0.716799518,0.564420959,0.542707533,1.231976816,1.241495222,0.353627392,0.478805166
indochinensis,1.680335513,1.095827503,1.184321082,0.718746427,0.528344969,0.50350247,1.265024298,1.214773618,0.388130795,0.493400822
indochinensis,1.673941999,1.060791407,1.162364839,0.661507708,0.507243544,0.577122078,1.238450259,1.211941184,0.399126739,0.450452206
