,,Locality,species,SVL,HL,HW,SNL,IND,IOD,ED,FL,TBL,MTTL,Fin3DW
KU,328602,Palawan,palawan,44.7,10.7,14.1,4.4,2.9,4.7,3.5,15.4,14.7,2.4,2.2
KU,328603,Palawan,palawan,42.2,10.8,13.7,4.6,2.8,4.8,3.7,16.8,14.7,2.3,1.9
LSUHC,5074,gubir,pm,49.2,13.7,17.8,6.16,4,5.9,4.5,20.8,19,3.3,2.9
LSUHC,5075,gubir,pm,54,14.5,19.9,6.25,4.1,5.1,4.2,23.2,19.6,3.5,3.1
LSUHC,5076,gubir,pm,54.4,13.9,17.7,6.3,3.8,5.8,4.5,20.6,18.6,3.3,2.8
LSUHC,5077,gubir,pm,56.2,15.5,19.5,5.9,3.9,5.8,5,22.4,19,3.4,3
KU,153946,java,baleata,49,12.7,15.3,5.2,2.8,5,3.6,19.5,16.1,3.3,1.9
KU,153943,java,baleata,51.2,12.7,16.8,4.7,3.5,5.1,4.5,19.6,17.3,3,1.4
KU,153948,java,baleata,51.9,13.1,15.4,5.3,3,5.1,4,17.7,16,3,2.2
KU,153949,java,baleata,47.5,11.9,15.1,4.4,2.7,5,3.7,15.9,15.4,2.8,1.5
KU,153950,java,baleata,49.5,12,15.5,5.4,2.9,5.1,4.1,17.4,16.1,2.8,1.8
KU,153952,java,baleata,50.6,13.4,16.4,5.4,3,5.5,3.9,18.1,14.9,2.6,1.8
KU,153947,java,baleata,48.1,12.3,15,5.2,2.9,4.7,3.3,16.7,14.6,3,1.6
ROM-HERP,32919,Vietnam,indochinensis,53.5,12.9,15.8,5.6,3.6,5.2,3.9,19.3,17.2,2.6,3.2
ROM-HERP,32920,Vietnam,indochinensis,44.1,11.2,14.8,4.9,3,5.2,3.5,17.5,14.8,2.4,3.1
ROM-HERP,32921,Vietnam,indochinensis,46.7,11.4,14.9,4.9,3,5.2,3.3,17.7,15.2,2.6,2.9
ROM-HERP,32922,Vietnam,indochinensis,51.5,11,15.4,5.1,2.9,5.4,3.2,18.6,16,2.7,2.7
ROM-HERP,32923,Vietnam,indochinensis,47.2,11.2,14.1,5.3,2.8,4.9,3.6,19,15.1,2.1,2.6
ROM-HERP,32924,Vietnam,indochinensis,46.2,11.2,14.2,4.7,3.3,5.6,3.4,18.8,16.2,2.4,2.7
ROM-HERP,32925,Vietnam,indochinensis,44.6,11.1,13.3,4.3,3,5.2,3.3,17.2,14.9,2.3,3.2
ROM-HERP,32926,Vietnam,indochinensis,48.5,11.4,14.1,4.9,2.8,5.2,3.6,13.8,16.2,2.3,3
ROM-HERP,32927,Vietnam,indochinensis,49.7,11.7,15.4,4.8,3,5.4,4.3,19.1,16.5,2.6,3
ROM-HERP,32928,Vietnam,indochinensis,49.7,11,14.8,5.1,3,5.4,3.7,16.3,17,2.7,2.8
ROM-HERP,32929,Vietnam,indochinensis,47.2,10.1,14.1,5.4,2.9,5.5,3.7,16.7,15.3,2.8,3.4
ROM-HERP,32931,Vietnam,indochinensis,47.9,11.2,14.2,4.8,2.5,5.1,3.3,15.6,15.5,2.4,3
ROM-HERP,32932,Vietnam,indochinensis,48.8,10.4,14.1,5.3,3.1,5.5,3.6,17.3,15.3,2.5,3.2
ROM-HERP,32933,Vietnam,indochinensis,46.7,10.5,14.8,5.1,2.9,5.5,3.6,16.3,15.1,2.4,3.3
ROM-HERP,32935,Vietnam,indochinensis,50.3,11.6,14.8,5.1,3,5.3,3.1,19.1,16.7,2.6,2.8
ROM-HERP,32936,Vietnam,indochinensis,48.9,11.1,14.3,5,2.4,5.5,3.6,17.6,15.3,2.3,2.9
ROM-HERP,32937,Vietnam,indochinensis,44.2,10.9,13,4.6,2.8,4.7,3.2,18.4,15.2,2.1,2.9
ROM-HERP,32938,Vietnam,indochinensis,50.7,11,14.3,4.4,3.1,5.5,3.4,17.4,16.6,2.5,2.7
ROM-HERP,32939,Vietnam,indochinensis,46.1,10.6,14.1,4.5,3,5.2,3.8,18.6,15.5,2.5,3
ROM-HERP,32940,Vietnam,indochinensis,46.2,11.3,13.7,4.7,2.9,5.7,3.3,17.1,16.3,2.5,3
ROM-HERP,32941,Vietnam,indochinensis,46.2,11,14.9,4.8,3,5.2,3.3,13.8,15.7,2.7,2.8
ROM-HERP,32942,Vietnam,indochinensis,52,12.8,15.9,5.2,3.2,5.5,4.4,17.7,16.7,2.9,3.1
ROM-HERP,32943,Vietnam,indochinensis,50.2,11.1,15.1,4.6,2.8,5.4,4,16.4,16.7,2.4,3.3
ROM-HERP,32944,Vietnam,indochinensis,51.6,11.2,15,5.5,3.1,5.4,3.3,17.7,15.3,2.6,2.8
ROM-HERP,32947,Vietnam,indochinensis,48.4,11.4,14.3,4.6,3.1,5.6,3.5,16.9,15.8,2.3,2.8
FMNH,270364,Laos,indochinensis,53.7,12.3,17.4,5,3.4,5.9,3.6,18.2,18.3,2.9,3.6
FMNH,270362,Laos,indochinensis,46.7,12.5,17,5,3.3,5,4.1,16.9,16.5,2.7,3
FMNH,270360,Laos,indochinensis,48.2,11.6,16.3,4.9,3.3,5.5,3.9,17,16.6,2.6,3.2
FMNH,270363,Laos,indochinensis,48.1,10.9,15.8,5.1,3.6,5.2,3.5,16.9,17,2.3,3
FMNH,270365,Laos,indochinensis,47.9,12.4,15.2,5.1,3.3,5,3.2,18.2,15.9,2.5,3.1
FMNH,270361,Laos,indochinensis,47.2,11.4,14.4,4.4,3.1,5.3,3.8,17,15.5,2.6,2.8
